"c02","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","","","","","","","","","","","10","30","20","メノクラゲ","30","20","キャモメ","40","20","ドククラゲ","40","20","ペリッパー","40","20","ペリッパー","0","","","","","","","","","","","","","","","","25","6","4","コイキング","7","3","コイキング","10","5","コイキング","10","5","コイキング","10","5","コイキング","50","20","15","コイキング","20","15","ウオット","25","10","コイキング","25","10","ウオット","25","10","ウオット","75","40","30","ギャラドス","40","30","ギョット","40","20","ヒトデマン","50","20","ギョット","50","20","ギョット"
"c04","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","","","","","","","","","","","10","30","20","コダック","40","20","コダック","40","30","ゴルダック","40","30","ゴルダック","40","20","ゴルダック","0","","","","","","","","","","","","","","","","25","6","4","コイキング","7","3","コイキング","10","5","コイキング","10","5","コイキング","10","5","コイキング","50","20","15","コイキング","20","15","ドジョッチ","25","10","コイキング","25","10","ドジョッチ","25","10","ドジョッチ","75","40","30","ギャラドス","40","30","ナマズン","55","40","ギャラドス","50","20","ナマズン","50","20","ナマズン"
"c06","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","0","0","0","0","","","","","","","","","","","10","30","20","メノクラゲ","30","20","キャモメ","40","20","ドククラゲ","40","20","ペリッパー","40","20","ペリッパー","0","","","","","","","","","","","","","","","","25","6","4","コイキング","7","3","コイキング","10","5","コイキング","10","5","コイキング","10","5","コイキング","50","20","15","コイキング","20","15","テッポウオ","25","10","コイキング","25","10","テッポウオ","25","10","テッポウオ","75","40","30","ギャラドス","40","30","オクタン","55","40","ギャラドス","50","20","オクタン","50","20","オクタン"
"c08","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","0","0","0","0","","","","","","","","","","","10","45","35","ドククラゲ","45","35","ペリッパー","40","30","タマンタ","40","30","タマンタ","45","35","タマンタ","0","","","","","","","","","","","","","","","","25","6","4","コイキング","7","3","コイキング","10","5","コイキング","10","5","コイキング","10","5","コイキング","50","20","15","コイキング","20","15","テッポウオ","25","10","コイキング","25","10","テッポウオ","25","10","テッポウオ","75","40","30","ギャラドス","40","30","オクタン","40","20","ヒトデマン","50","20","オクタン","50","20","オクタン"
"c10","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","0","0","0","0","","","","","","","","","","","10","40","35","ペリッパー","40","35","ドククラゲ","45","40","ペリッパー","45","40","ドククラゲ","45","40","ドククラゲ","0","","","","","","","","","","","","","","","","25","6","4","コイキング","7","3","コイキング","10","5","コイキング","10","5","コイキング","10","5","コイキング","50","20","15","コイキング","20","15","テッポウオ","25","10","コイキング","25","10","テッポウオ","25","10","テッポウオ","75","40","30","ギャラドス","40","30","オクタン","30","20","ラブカス","50","20","オクタン","50","20","オクタン"
"d01r0101","10","6","イシツブテ","6","イシツブテ","7","ズバット","7","ズバット","7","イシツブテ","7","イシツブテ","8","イワーク","8","イワーク","9","イシツブテ","9","イシツブテ","5","イシツブテ","5","イシツブテ","イシツブテ","イシツブテ","ズバット","ズバット","ズバット","ズバット","イシツブテ","イシツブテ","イシツブテ","イシツブテ","0","0","0","0","0","0","イシツブテ","イシツブテ","イシツブテ","イシツブテ","イシツブテ","イシツブテ","イシツブテ","イシツブテ","イシツブテ","イシツブテ","0","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","",""
"d01r0102","10","7","イシツブテ","7","イシツブテ","8","ズバット","8","ズバット","8","イシツブテ","8","イシツブテ","9","イワーク","9","イワーク","10","イシツブテ","10","イシツブテ","6","イシツブテ","6","イシツブテ","イシツブテ","イシツブテ","ズバット","ズバット","ズバット","ズバット","イシツブテ","イシツブテ","イシツブテ","イシツブテ","0","0","0","0","0","0","イシツブテ","イシツブテ","イシツブテ","イシツブテ","イシツブテ","イシツブテ","イシツブテ","イシツブテ","イシツブテ","イシツブテ","0","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","",""
"d02","30","7","ブイゼル","7","パチリッス","8","ブイゼル","8","シーウシ","8","ビーバー","7","シーウシ","9","シーウシ","8","パチリッス","9","ブイゼル","9","シーウシ","9","ブイゼル","9","シーウシ","ラクライ","ラクライ","ブイゼル","シーウシ","ブイゼル","シーウシ","メリープ","メリープ","メリープ","メリープ","0","0","0","0","0","0","ブイゼル","シーウシ","ブイゼル","シーウシ","ブイゼル","シーウシ","エレキッド","エレキッド","ブイゼル","シーウシ","10","30","20","メノクラゲ","30","20","キャモメ","40","20","ドククラゲ","40","20","ペリッパー","40","20","ペリッパー","0","","","","","","","","","","","","","","","","25","6","4","コイキング","7","3","コイキング","10","5","コイキング","10","5","コイキング","10","5","コイキング","50","20","15","コイキング","20","15","ウオット","25","10","コイキング","25","10","ウオット","25","10","ウオット","75","40","30","ギャラドス","40","30","ギョット","40","20","シェルダー","50","30","ギョット","50","30","ギョット"
"d03r0101","30","10","ケムッソ","10","マユルド","11","ケムッソ","10","スボミー","10","ミミット","11","スボミー","11","ミミット","12","スボミー","12","スボミー","12","ミミット","12","ドクケイル","12","ドクケイル","ナマケロ","ナマケロ","ケムッソ","スボミー","ムウマ","ムウマ","ツチニン","ツチニン","ツチニン","ツチニン","0","0","0","0","0","0","タネボー","タネボー","スボミー","ミミット","クヌギダマ","クヌギダマ","トランセル","トランセル","コクーン","コクーン","0","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","",""
"d04","30","29","ブイゼルガ","28","シーウシ","28","パチチ","29","キャモメ","29","バチチ","29","シードルゴ","29","パチリッス","29","パチリッス","30","ブイゼルガ","30","シードルゴ","30","ブイゼルガ","30","シードルゴ","コイル","コイル","パチチ","キャモメ","パチチ","キャモメ","ハネッコ","ハネッコ","ポポッコ","ポポッコ","0","0","0","0","0","0","ブイゼルガ","シードルゴ","ブイゼルガ","シードルゴ","ブイゼルガ","シードルゴ","ブイゼルガ","シードルゴ","ブイゼルガ","シードルゴ","10","30","20","メノクラゲ","30","20","キャモメ","40","20","ドククラゲ","40","20","ペリッパー","40","20","ペリッパー","0","","","","","","","","","","","","","","","","25","6","4","コイキング","7","3","コイキング","10","5","コイキング","10","5","コイキング","10","5","コイキング","50","20","15","コイキング","20","15","ウオット","25","10","コイキング","25","10","ウオット","25","10","ウオット","75","40","30","ギャラドス","40","30","ギョット","40","20","シェルダー","50","20","ギョット","50","20","ギョット"
